,Title,ID,Vote_Avg,Vote_Count,Popularity,release_year,Director,Gender,Revenue,Budget
343,The Age of Adaline,293863,7.4,2949,11.763,2015,Lee Toland Krieger,male,65663276,25000000
344,The Emoji Movie,378236,5.5,1016,11.756,2017,Anthony Leondis,male,216909830,50000000
345,Gran Torino,13223,7.9,4407,11.749,2008,Clint Eastwood,male,269958228,33000000
346,A Cinderella Story: If the Shoe Fits,407655,6.6,214,11.749,2016,Michelle Johnston,female,0,0
347,Seven Samurai,346,8.3,1159,11.746,1954,Akira Kurosawa,male,271841,2000000
348,The Spy Who Dumped Me,454992,0.0,0,11.746,2018,Susanna Fogel,female,0,0
349,Revolt,313943,5.2,91,11.744,2017,Joe Miale,male,0,4000000
350,Kingdom of Heaven,1495,6.7,1644,11.739,2005,Ridley Scott,male,211643158,130000000
351,Looking Glass,437375,4.5,52,11.738,2018,Tim Hunter,male,0,0
352,Justice League: Throne of Atlantis,297556,6.6,312,11.737,2015,Ethan Spaulding,male,0,3500000
353,The Black Cauldron,10957,6.6,361,11.732,1985,Ted Berman,male,21288692,25000000
354,End of Days,9946,5.6,644,11.731,1999,Peter Hyams,male,211989043,100000000
355,CHiPS,417644,6.0,487,11.727,2017,Dax Shepard,male,26800152,25000000
356,Brokeback Mountain,142,7.7,2331,11.725,2005,Ang Lee,female,178043761,14000000
357,The Crow,9495,7.4,1376,11.72,1994,Alex Proyas,male,94000000,15000000
358,Tom and Jerry: The Fast and the Furry,42246,7.0,37,11.719,2005,Bill Kopp,male,0,0
359,The Sound of Music,15121,7.5,1287,11.716,1965,Robert Wise,male,286214286,8200000
360,Changeling,3580,7.4,1609,11.713,2008,Clint Eastwood,male,113020255,55000000
361,The Adventures of Tintin,17578,6.7,2659,11.712,2011,Steven Spielberg,male,371940071,130000000
362,Underworld: Awakening,52520,6.2,2238,11.701,2012,Måns Mårlind,male,160112671,70000000
363,Hotel Desire,82023,5.8,38,11.699,2011,Sergej Moya,male,0,230758
364,Daredevil,9480,5.1,2222,11.686,2003,Mark Steven Johnson,male,179179718,78000000
365,"Everything, Everything",417678,7.2,1582,11.681,2017,Stella Meghie,female,34000284,10000000
366,Æon Flux,8202,5.5,907,11.673,2005,Karyn Kusama,female,52304001,62000000
367,Laggies,244264,6.1,576,11.672,2014,Lynn Shelton,female,1066981,0
368,Wild at Heart,483,7.0,486,11.669,1990,David Lynch,male,14560247,9500000
369,White Chicks,12153,6.5,1072,11.668,2004,Keenen Ivory Wayans,male,113086475,37000000
